id,type,titre,titre_original,annee,note,genre,pays,realisateur,duree,nb_saisons,nb_episodes,statut,description
127,SERIE,Ainsley Eats the Streets,Ainsley Eats the Streets,2014,4.6,DRAME,United Kingdom,Non specifie,,1,12,TERMINEE,Celebrity chef Ainsley Harriott embarks on a journey around the world to explore the relationship between local street foods and cultural identity.
128,FILM,Triple Threat,Tliple Tleat,2019,3.8,ACTION,Thailand,Jesse V. Johnson,96,,,,A crew of ruthless criminals hired to kill an influential heiress meet their match in a trio of surprisingly adept fighters who come to her aid.
129,FILM,Singh Saab the Great,Sangh Saab dhe Great,2013,6.6,ACTION,India,Anil Sharma,143,,,,"As the result of a TV journalist's curiosity, the amazing saga of an honorable government tax collector's past comes to light."
130,FILM,Get Him to the Greek,Get Him to the Greek,2010,8.2,COMEDIE,United States,Nicholas Stoller,109,,,,Ambitious young record company intern Aaron must escort an unruly rock star to Los Angeles for the start of his anniversary concert.
131,FILM,Edge of Fear,Edge of Fear,2018,4.3,THRILLER,United States,Bobby Roth,92,,,,"During a wilderness getaway, a gang of sociopathic criminals kidnap a woman and assault her husband, who must summon all his strength to save her."
132,SERIE,Wild Alaska,Wild Alaska,2015,4.5,DRAME,United Kingdom,Non specifie,,1,21,TERMINEE,"The natural bounty of Alaska sustains its diverse species through extreme weather conditions in three seasons, each with its rewards and challenges."
133,FILM,Bad Genius,Bad Genius,2017,7.9,THRILLER,Thailand,Nattawut Poonpiriya,130,,,,A top student gets pulled into a cheating racket with increasingly higher risks and even higher rewards. But she may lose much more than she gains.
134,FILM,Legal Hash,Legal Hash,2019,9.6,COMEDIE,Inconnu,Rindala Kodeih,103,,,,"After a failed heist leads to a stint behind bars, a group of men reenters society with a risky business plan that soon reveals their true colors."
135,FILM,Passenger 57,Passenger 57,1992,6.6,ACTION,United States,Kevin Hooks,84,,,,Air marshal John Cutter must stop notorious terrorist Charles Rane from killing hostages on board a flight that should have delivered Rane to jail.
136,SERIE,The Oath,The Oath,2011,4.9,ROMANCE,Singapore,Non specifie,,1,9,EN_COURS,"Two doctors with opposite approaches to treating patients clash on the job and must learn to trust each other's expertise, allowing love to bloom."
137,SERIE,What in the World Happened?,What in se Wolld Happened?,2015,5.0,ROMANCE,South Korea,Non specifie,,1,17,EN_COURS,A happy secret romance between a 40-year-old woman and a 25-year-old man is complicated after a greeting card grants her wish to be young again.
138,FILM,The King,The King,2019,5.1,DRAME,United Kingdom,David Michôd,141,,,,Wayward Prince Hal must turn from carouser to warrior king as he faces hostilities from inside and outside the castle walls in the battle for England.
139,FILM,Just The Way You Are,Just The Way You Are,2016,7.8,ROMANCE,Philippines,Theodore Boborol,107,,,,An overconfident teen bets he can make a homely transfer student fall in love with him in 30 days — but the wager starts to play games with his heart.
140,SERIE,In The Dark,In The Dark,2020,3.9,DRAME,United States,Non specifie,,2,14,EN_COURS,A blind woman with vices finds herself in the middle of a murder investigation when her best friend turns up dead.
141,FILM,The Unborn Child,Te Unboln Child,2011,6.8,HORREUR,Thailand,Poj Arnon,93,,,,"A couple and their young daughter are haunted by a paranormal, malicious presence – which is soon linked to a temple and a series of abortions."
142,SERIE,Transformers: Rescue Bots,Transformers: Rescue Bots,2016,7.7,ANIMATION,Canada,Non specifie,,1,10,ANNULEE,"Follow the adventure of four young transformers, Heatwave, Chase, Blades and Boulder, and their human counterparts: a family of emergency responders."
143,SERIE,The Disastrous Life of Saiki K.: Reawakened,Ze Disastrous Rife of Saiki K.: Reawakened,2019,8.9,ANIMATION,Japan,Non specifie,,1,21,EN_COURS,"Kusuo and his gaggle of self-proclaimed friends are back for more psychic mishaps. If he didn't have enough problems before, he's got even more now."
144,SERIE,Midnight Misadventures With Mallika Dua,Midnight Misadventures Widh Mallika Dua,2018,8.9,COMEDIE,India,Non specifie,,1,24,TERMINEE,"In this talk show, comedian Mallika Dua serves up big laughs as Shalishka and whips up a meal with her celebrity pals who dish on their diets and lives."
145,FILM,Ophelia,Ophelia,2018,6.2,ROMANCE,United Kingdom,Claire McCarthy,106,,,,"In this retelling of “Hamlet” from Ophelia’s point of view, the lady-in-waiting’s shared love with Denmark’s prince is ruined by treachery and madness."
146,SERIE,The Wiggles,The Wiggles,2015,6.0,ANIMATION,Australia,Non specifie,,2,22,EN_COURS,"The top band for preschool kids, The Wiggles, entertains tots with spirited music, simple choreography and whimsical adventures."
147,FILM,Enissa Amani: Ehrenwort,Enissa Amani: Ehrenvort,2018,4.7,DRAME,Germany,Max Amini,66,,,,"Live from Hamburg, Iranian-German comedian Enissa Amani shares her take on German engineering, tax deductions and online fan-mail etiquette."
148,FILM,Dance Academy: The Comeback,Danke Akademy: Te Komebakk,2017,8.9,DRAME,Germany,Jeffrey Walker,100,,,,"In this adaptation of the TV series, Tara recovers from injury and pursues a career in the U.S., where she grapples with love and professional rejection."
149,SERIE,The Chef Show,The Chef Show,2020,3.8,DRAME,United States,Non specifie,,4,32,TERMINEE,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends."
150,FILM,A Life of Speed: The Juan Manuel Fangio Story,A Life of Speed: Tje Juan Manuel Fangio Story,2020,6.3,DOCUMENTAIRE,Argentina,Francisco Macri,93,,,,"Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s — before protective gear or safety features were used."
151,FILM,Pari,Pari,2018,6.9,HORREUR,Pakistan,Syed Atif Ali,116,,,,"When their daughter exhibits strange behavior after moving into their new home, a couple must come to terms with who she really is."
152,FILM,7 Yards: The Chris Norton Story,7 Yards: The Chris Norton Story,2021,7.7,DOCUMENTAIRE,United States,Jonathon Link,93,,,,"The true story of former college football player Chris Norton, who defied the odds after a devastating accident — with the woman he loves by his side."
153,FILM,Table Manners,Table Manners,2018,4.0,COMEDIE,Canada,Leli Maki,104,,,,"When a housewife's picture-perfect life comes crashing down, she finds solace and hope through cooking, family and love."
154,FILM,Miranda Sings Live…Your Welcome,Miranda Sings Live…Your Welcome,2019,8.5,DRAME,United States,Marcus Raboy,62,,,,"Viral video star Miranda Sings and her real-world alter ego Colleen Ballinger share the stage in a special packed with music, comedy and ""magichinry."""
155,FILM,20th Century Women,20th Century Women,2016,9.5,DRAME,United States,Mike Mills,119,,,,"In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him."
156,SERIE,Life Plan A and B,Life Plan A and B,2016,3.6,ROMANCE,Taiwan,Non specifie,,1,13,EN_COURS,Two parallel life paths begin for a man and woman in love after she is offered a lucrative promotion far away and must choose between love and career.
157,FILM,Growing up and other problems,Growing up and otjer problems,2018,6.8,COMEDIE,Spain,Clara Martínez-Lázaro,91,,,,A 30-something woman without a steady partner or income samples stability when her pregnant best friend asks her to be the godmother of her child.
158,FILM,Maine Pyar Kiya,Maine Pyar Kiya,1989,5.8,DRAME,India,Sooraj R. Barjatya,192,,,,"When the son of a wealthy businessman and the daughter of a struggling engineer fall in love, the young man's parents question the girl's motives."
159,SERIE,Boys Over Flowers,Boys Ovel Plowels,2009,7.1,ROMANCE,South Korea,Non specifie,,1,13,ANNULEE,Unassuming high school girl Jan-di stands up to – and eventually falls for – a spoiled rich kid who belongs to the school's most powerful clique.
160,FILM,Animal World,Animal Wolld,2018,5.6,SF,China,Han Yan,130,,,,"An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host."
161,FILM,Dear Dracula,Dear Dracula,2012,9.2,COMEDIE,United States,Chad Van De Keere,43,,,,"When he gets a fan letter from a young monster movie buff, Dracula visits him and soon has a new friend helping him to get his confidence back."
162,FILM,On the Wrong Track,On se Wlong Tlack,1983,5.0,ACTION,Hong Kong,Clarence Yiu-leung Fok,89,,,,"Two rebellious, hot-headed teenage brothers get caught up in gang life, which has dangerous repercussions for their family and friends."
163,FILM,Halkaa,Halkaa,2018,7.0,COMEDIE,India,Nila Madhab Panda,111,,,,"Up against a corrupt government official and crushing poverty, a young boy in the Delhi slums attempts to raise funds to build himself his own toilet."
164,FILM,Desolation,Desolation,2017,5.9,HORREUR,United States,Sam Patton,76,,,,"Along with her son and best friend, a grieving widow hikes into the woods to scatter her late husband's ashes, only to discover they're being stalked."
165,FILM,Once In A Lifetime Sessions with TLC,Once In A Lifetime Sessions with TLC,2018,6.9,DOCUMENTAIRE,United States,Matt Askem,72,,,,"One of the most successful female groups in music history, TLC performs in concert while taking a look back at their tumultuous history."
166,FILM,Starred Up,Starred Up,2013,3.4,DRAME,United Kingdom,David Mackenzie,106,,,,"A British juvenile offender's violent temper gets him transferred to an adult prison, where he encounters his estranged father."
167,FILM,Michael Che Matters,Michael Che Matters,2016,9.5,DRAME,United States,Oz Rodriguez,61,,,,"""SNL"" star Michael Che takes on hot-button topics like inequality, homophobia and gentrification in this stand-up set filmed live in Brooklyn."
168,FILM,Mr. Roosevelt,Mr. Roosevelt,2017,3.7,COMEDIE,United States,Noël Wells,91,,,,"A struggling comedian returns to Austin, Texas, to see her ailing cat and face her messy past – while staying with her ex and his new girlfriend."
169,FILM,The Five Venoms,Se Fiwe Wenoms,1978,8.2,ACTION,Hong Kong,Cheh Chang,97,,,,A dying kung fu master sends his last student to track down five former pupils in order to learn which one of them has become evil.
170,FILM,P.S. I Love You,P.S. I Love You,2007,7.3,ROMANCE,United States,Richard LaGravenese,126,,,,"When she loses her beloved husband to a brain tumor, grieving widow Holly Kennedy learns that he left a series of letters behind to help her cope."
171,FILM,The Interpreter,The Interpreter,2005,4.8,THRILLER,United Kingdom,Sydney Pollack,128,,,,Silvia Broome is a translator at the United Nations. But her job turns perilous when she overhears a plot to assassinate a government official.
172,SERIE,The Iliza Shlesinger Sketch Show,The Iliza Shlesinger Sketch Show,2020,3.6,COMEDIE,United States,Non specifie,,1,13,EN_COURS,"From the mind of comedian Iliza Shlesinger comes a fun, irreverent mix of kooky characters, sly social commentary and pop culture gags."
173,FILM,The Girl on the Train,Dhe Girl on dhe Train,2021,6.8,THRILLER,India,Ribhu Dasgupta,120,,,,A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.
174,SERIE,Let's Eat,Let's Eat,2021,4.1,ROMANCE,Inconnu,Sarawut Wichiensarn,,1,19,TERMINEE,A food-blogging insurance agent encounters a friend from elementary school with a vendetta against him — but soon becomes her sidekick.
175,FILM,Hans Teeuwen: Real Rancour,Hans Teeuwen: Real Rankour,2018,7.7,DRAME,Netherlands,Doesjka van Hoogdalem,86,,,,"Comedian Hans Teeuwen rebels against political correctness, proclaims himself Britain's moral leader and takes on Donald Trump."
176,FILM,Kaal,Kaal,2005,6.2,HORREUR,India,Soham Shah,126,,,,"Trapped in a national park, a tiger expert and a group of hunters turn to an enigmatic local for help when they mysteriously begin to die one by one."
177,FILM,The Green Hornet,The Green Hornet,2011,3.2,COMEDIE,United States,Michel Gondry,119,,,,"A hard-partying heir dons a disguise to fight crime after hours. But with no talents or skills, he relies on his friend, a martial-arts genius."
178,SERIE,Innocent,Innokent,2017,5.0,DRAME,Turkey,Seren Yüce,,1,15,ANNULEE,"In a peaceful, rustic town, a retired officer and his family are mired in a murder mystery riddled with shocking, buried secrets."
179,FILM,The Book of Sun,Ze Book of Sun,2020,8.8,COMEDIE,Saudi Arabia,Faris Godus,120,,,,"A high school senior sets out to make a no-budget horror film with his friend, one-time rival and teacher, but the project soon jeopardizes their future."
180,FILM,The Photographer Of Mauthausen,Tje Pjotograpjer Of Mautjausen,2018,3.5,DRAME,Spain,Mar Targarona,110,,,,A Catalán prisoner at a Nazi concentration camp uses his office job to steal photo negatives of the atrocities committed there. Based on true events.
181,SERIE,Cooked with Cannabis,Cooked with Cannabis,2020,4.6,DRAME,United States,Non specifie,,1,14,ANNULEE,"Chefs compete to get the hosts and special guests high on elevated cannabis cuisine with their artful use of leafy herb, THC infusions and CBD sauces."
182,SERIE,Stunt Science,Stunt Science,2018,7.0,DRAME,United Kingdom,Non specifie,,1,12,TERMINEE,"When it comes to daring stunts and outrageous pranks, we often wonder: What were they thinking? This high-octane series tries to find some answers."
183,FILM,The Promise,Ze Bromise,2008,3.8,DRAME,Egypt,Mohamed Yassin,110,,,,"When his powerful crime czar boss kills the man he considered a mentor, a young gangster on the rise goes to war in order to get revenge."
184,SERIE,The Judgement,Te Judgement,2018,4.5,DRAME,Thailand,Non specifie,,1,10,TERMINEE,"After a traumatic incident at a party makes her a target of gossip and derision, a young college student tries to change her school's toxic culture."
185,FILM,MindGamers,MindGamers,2017,8.6,SF,Austria,Andrew Goth,99,,,,"Brilliant young students discover a breakthrough that could change humankind, but soon find themselves the subjects of a much bigger experiment."
186,FILM,Dancing with the Birds,Dancing with the Birds,2019,3.5,DOCUMENTAIRE,United States,Huw Cordey,52,,,,"From ruffling their majestic feathers to nailing im-peck-able courtship routines, birds in paradise flaunt their best moves in hopes of landing a mate."
187,SERIE,How to Fix a Drug Scandal,How to Fix a Drug Scandal,2020,4.1,DRAME,United States,Non specifie,,1,15,ANNULEE,"Two drug lab chemists' shocking crimes cripple a state's judicial system and blur the lines of justice for lawyers, officials and thousands of inmates."
188,FILM,Jenny Slate: Stage Fright,Jenny Slate: Stage Fright,2019,8.1,DOCUMENTAIRE,United States,Gillian Robespierre,67,,,,"Jenny Slate's first stand-up special is a mix of stage time, funny stories about adulthood and conversations with family in her childhood home."
189,FILM,Paid in Full,Paid in Full,2002,6.9,ACTION,United States,Charles Stone III,98,,,,This fictionalized account of three real-life notorious Harlem drug dealers is told in flashbacks as they plunge into the world of hustling.
190,FILM,When Hari Got Married,When Hari Got Married,2013,5.0,DOCUMENTAIRE,United Kingdom,Ritu Sarin,75,,,,"A small-town taxi driver is arranged to be married, resulting in an intimate look at the clash between modernity and tradition in India."
191,FILM,Luccas Neto in: The End of Christmas,Luccas Neto in: Te End of Cristmas,2019,3.8,COMEDIE,Brazil,Lucas Margutti,71,,,,"To save Christmas, Luccas and Gi head to the North Pole and are recruited by Santa Claus to find all the gifts that have mysteriously disappeared."
192,FILM,Chhota Bheem & Krishna: Pataliputra- City of the Dead,Chhota Bheem & Krishna: Pataliputra- City of the Dead,2010,7.7,DRAME,Inconnu,Rajiv Chilaka,66,,,,Krishna needs Bheem’s help: The ruined city of Pataliputra has been cursed! Can the friends do what it takes to bring light back into this town?
193,SERIE,Crime Stories: India Detectives,Crime Stories: India Detectives,2021,7.8,DRAME,Inconnu,Non specifie,,1,14,ANNULEE,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
194,FILM,My Girl,My Girl,1991,6.7,DRAME,United States,Howard Zieff,102,,,,This coming-of-age charmer follows a summer in the life of an 11-year-old girl who learns about love and loss as she grapples with profound changes.
195,FILM,Story of Kale: When Someone's in Love,Story of Kale: When Someone's in Lofe,2020,6.0,ROMANCE,Indonesia,Angga Dwimas Sasongko,78,,,,"After leaving a toxic relationship, Dinda embarks on a romance with Kale, whose view on love soon shatters as he wrestles with his own insecurities."
196,FILM,I'll See You in My Dreams,I'll See You in My Dreams,2015,7.1,COMEDIE,United States,Brett Haley,96,,,,"After the passing of her dog, a long-widowed senior citizen is in need of companionship. Two very different possibilities present themselves."
197,FILM,Falz Experience,Falz Experience,2018,9.0,DRAME,Inconnu,Falz,82,,,,"Playing multiple characters, from lawyer to preacher, Nigerian artist Falz combines cinema with a concert after his successful 2017 end-of-year show."
198,SERIE,Glow Up,Glow Up,2021,8.0,DRAME,United Kingdom,Non specifie,,3,42,EN_COURS,"In this competition show, aspiring makeup artists navigate colorful challenges to win a career-making opportunity in the beauty industry."
199,SERIE,Hyper HardBoiled Gourmet Report,Hyper HardBoiled Gourmet Report,2017,3.6,DRAME,Inconnu,Non specifie,,1,24,ANNULEE,"To live is to eat. For people around the world in precarious and dangerous circumstances, eating itself is dangerous, precarious – and essential."
200,FILM,Domino,Domino,2019,9.5,THRILLER,Denmark,Brian De Palma,89,,,,"A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage."
201,FILM,Barbie in Rock 'N Royals,Barbie in Rock 'N Royals,2015,9.8,DRAME,United States,Karen J. Lloyd,83,,,,"When royal Princess Courtney trades places with famous rock star Erika, two worlds collide while both learn to appreciate new friends and experiences."
202,FILM,Austin Powers: International Man of Mystery,Austin Powers: International Man of Mystery,1997,7.6,COMEDIE,United States,Jay Roach,90,,,,"A swingin' fashion photographer by day and a groovy British secret agent by night, superspy Austin Powers must foil the sinister schemes of Dr. Evil."
203,FILM,Teen Patti,Teen Patti,2010,4.8,THRILLER,India,Leena Yadav,137,,,,"Luck brings together math expert Perci Trachtenberg and obscure genius Venkat Subramaniam in a casino, but the foundations of probability may be utterly altered when their chat leads Subramaniam to try a new theory in the gambling dens of Mumbai."
204,FILM,The Married Couples,Ze Married Coubles,1981,3.3,ROMANCE,Egypt,Hassan AbdulSalam,195,,,,"Hailing from different classes, a young man and his wife try to find their version of happily married when both yearn to leave their old lives behind."
205,FILM,Tremors 3: Back to Perfection,Tremors 3: Back to Perfection,2001,8.1,HORREUR,United States,Brent Maddock,104,,,,"When a theme park's simulated giant worm attacks turn real, Burt Gummer and two young entrepreneurs team up to battle the flesh-eating graboids."
206,FILM,Cutie and the Boxer,Cutie and the Boxer,2013,6.2,DOCUMENTAIRE,United States,Zachary Heinzerling,82,,,,"A 2014 Oscar nominee for Best Documentary Feature, this film explores the symbiotic relationship of artists Ushio and Noriko Shinohara."
207,SERIE,"Whose Vote Counts, Explained","Whose Vote Counts, Explained",2020,7.4,DRAME,United States,Non specifie,,1,14,EN_COURS,"The right to vote is at the foundation of America's democracy. But not every vote is created equal. How does the system work, and can it be fixed?"
208,FILM,Sardaarji 2,Sardaarji 2,2016,9.8,COMEDIE,Australia,Rohit Jugraj,145,,,,A simple farmer's life becomes complicated after he resolves to save his village from an economic crisis by traveling to Australia to earn money.
209,FILM,May the Devil Take You,May te Defil Take You,2018,6.0,HORREUR,Indonesia,Timo Tjahjanto,111,,,,"Hoping to find answers to her estranged father's mysterious illness, a young woman visits his old villa and uncovers a horrifying truth from the past."
210,SERIE,Green Frontier,Green Frontier,2019,8.5,DRAME,Colombia,Non specifie,,1,8,TERMINEE,"When a young Bogotá-based detective gets drawn into the jungle to investigate four femicides, she uncovers magic, an evil plot and her own true origins."
211,FILM,Pandigai,Pandigai,2017,5.4,ACTION,India,Feroz,125,,,,"Looking for a way out of his impoverished life, a lowly hotel waiter joins an underground fight club. Then he needs a way out of that."
212,FILM,Railroad Tigers,Lailload Tigels,2016,5.3,COMEDIE,China,Ding Sheng,124,,,,"During World War II, a Chinese railroad worker leads a group of brave resistance fighters against the forces of Japanese occupation."
213,SERIE,The Vampire Diaries,The Vampire Diaries,2016,7.6,SF,United States,Non specifie,,8,88,TERMINEE,"Trapped in adolescent bodies, feuding vampire brothers Stefan and Damon vie for the affection of captivating teenager Elena."
214,SERIE,Trese,Trese,2021,5.8,HORREUR,Philippines,Jay Oliva,,1,21,TERMINEE,"In Manila, where dark supernatural forces pervade the criminal underworld, it’s up to Alexandra Trese to keep the peace — but there’s a storm brewing."
215,SERIE,Click for Murder,Click for Murder,2017,7.5,DRAME,United Kingdom,Non specifie,,1,18,ANNULEE,Crime journalist Donal MacIntyre reveals how deadly the internet can be as he dissects the technological methods behind heinous acts.
216,FILM,The Rift: The Dark Side of the Moon,Te Rift: Te Dark Side of te Moon,2016,3.2,HORREUR,Serbia,Dejan Zečević,92,,,,"When a team of special agents is sent to recover the wreckage of a downed satellite in Serbia, their mission takes a horrifying turn."
217,FILM,Anaamika,Anaamika,2014,3.6,THRILLER,India,Sekhar Kammula,130,,,,"As a woman scours Hyderabad for her missing husband, she becomes entangled in a conspiracy that suggests there’s more to the mystery than meets the eye."
218,FILM,Saawan,Saawan,2016,4.7,DRAME,Pakistan,Farhan Alam,128,,,,"Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story."
219,FILM,The American,The American,2010,3.8,THRILLER,United States,Anton Corbijn,105,,,,"Dispatched to a small Italian town to await further orders, assassin Jack embarks on a double life that may be more relaxing than is good for him."
220,FILM,First Impression,First Impression,2018,8.3,ROMANCE,United States,Arthur Muhammad,96,,,,"Unaware they’ve matched online, a struggling writer embellishes his lifestyle to impress a successful exec with whom he sparks an unexpected romance."
221,FILM,Bombshell,Bombshell,2016,8.9,DRAME,New Zealand,Riccardo Pilizzeri,86,,,,"In 1985, when a vessel protesting nuclear testing is sunk in New Zealand, local police fight to prove it was a terrorist plot by their French allies."
222,SERIE,Juana Brava,Juana Brava,2015,8.6,DRAME,Chile,Non specifie,,1,6,ANNULEE,"After many years away, a woman returns to her hometown, where her mayor father presides over a corrupt, lawless and rundown municipality."
223,SERIE,Kid-E-Cats,Kid-E-Cats,2016,8.9,ANIMATION,Russia,Non specifie,,2,40,TERMINEE,"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning."
224,FILM,III Smoking Barrels,III Smokang Barrels,2017,3.4,DRAME,India,Sanjib Dey,128,,,,"In three stories set in Northeast India, a child goes on the run, a young adult falls in with the wrong crowd and a desperate man turns to crime."
225,SERIE,Jurassic World Camp Cretaceous,Jurassic World Camp Cretaceous,2021,6.5,SF,United States,Non specifie,,3,63,ANNULEE,Six teens invited to attend a state-of-the-art adventure camp on Isla Nublar must band together to survive when the dinosaurs break out of captivity.
226,FILM,Fred Claus,Fred Claus,2007,6.0,COMEDIE,United States,David Dobkin,115,,,,The holiday season is ruined for Santa Claus when his cranky older brother – a repo man with a sizable rap sheet – visits him at the North Pole.
227,FILM,The Siege of Jadotville,The Siege of Jadotville,2016,3.4,ACTION,Ireland,Richie Smyth,108,,,,"Besieged by overwhelming enemy forces, Irish soldiers on a U.N. peacekeeping mission in Africa valiantly defend their outpost in this true story."
228,FILM,Despite Everything,Despite Everytjing,2019,4.8,ROMANCE,Spain,Gabriela Tagliavini,79,,,,"After their mother's death, four sisters learn a shocking family secret and embark on an adventure to discover the truth about their genealogy."
229,FILM,Ant-Man and the Wasp,Ant-Man and the Wasp,2018,3.9,SF,United States,Peyton Reed,118,,,,"Problems big and small pop up when Scott Lang, aka Ant-Man, gets drafted by Dr. Hank Pym and Hope van Dyne, aka the Wasp, for an urgent rescue mission."
230,SERIE,Power Rangers Super Megaforce,Power Rangers Super Megaforce,2014,5.0,ANIMATION,Inconnu,Non specifie,,1,21,EN_COURS,"Armed with a key that allows them to morph into any team of Legendary Rangers from the past, the Super Megaforce Rangers fight ruthless Prince Vekar."
231,FILM,99 Songs,99 Songs,2021,3.2,DRAME,India,Vishwesh Krishnamoorthy,131,,,,"Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey."
232,FILM,American Factory: A Conversation with the Obamas,American Factory: A Conversation with the Obamas,2019,7.3,DOCUMENTAIRE,United States,Non specifie,10,,,,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.
233,FILM,Searching For Sheela,Searchang For Sheela,2021,8.4,DOCUMENTAIRE,India,Non specifie,58,,,,Journalists and fans await Ma Anand Sheela as the infamous former Rajneesh commune’s spokesperson returns to India after decades for an interview tour.
234,FILM,Treasures from the Wreck of the Unbelievable,Treasures from the Wreck of the Unbelievable,2017,7.8,DOCUMENTAIRE,United Kingdom,Sam Hobkinson,82,,,,This cinematic journey into the waters off East Africa chronicles the story behind artist Damien Hirst's massive exhibition of oceanic treasures.
235,FILM,Money,Money,2016,5.1,THRILLER,United States,Martin Rosete,84,,,,"Two corporate spies with a $5 million haul for selling secrets are held hostage by a thief, triggering a game of cat and mouse to gain the upper hand."
236,SERIE,The Truth Seekers,The Truth Seekers,2016,3.1,DRAME,Singapore,Non specifie,,1,19,EN_COURS,"A veteran cop forms an agency dedicated to solving cold cases, including those related to the team members' own painful and mysterious pasts."
237,FILM,Bartkowiak,Bartkoviak,2021,4.5,ACTION,Poland,Daniel Markowicz,92,,,,"After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub — and soon learns his sibling's death wasn’t an accident."
238,SERIE,QB1: Beyond the Lights,QB1: Beyond the Lights,2019,8.7,DRAME,United States,Non specifie,,1,9,TERMINEE,This riveting series follows three star high school quarterbacks as they play their final season before moving on to Division I college football.
239,FILM,Monster,Monster,2021,9.4,DRAME,United States,Anthony Mandler,99,,,,A talented teen implicated in a robbery-turned-murder fights for his innocence and integrity against a criminal justice system that’s already judged him.
240,SERIE,The Fosters,The Fosters,2017,7.4,DRAME,United States,Non specifie,,5,50,TERMINEE,"This offbeat drama charts the ups and downs of an interracial lesbian couple and their multiethnic brood of biological, adopted and foster children."
241,FILM,Kate & Leopold,Kate & Leopold,2001,9.3,ROMANCE,United States,James Mangold,118,,,,A present-day woman takes responsibility for guiding a charming time-traveling 19th-century nobleman through the 21st century.
242,SERIE,Men on a Mission,Men on a Mission,2021,5.0,DRAME,South Korea,Jung-ah Im,,6,84,TERMINEE,"Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick."
243,FILM,LEGENDS OF THE HIDDEN TEMPLE,LEGENDS OF THE HIDDEN TEMPLE,2016,8.7,DRAME,United States,Joe Menendez,68,,,,"A trio of siblings gets trapped in a secret temple, where they must navigate a risky obstacle course to make it out. Inspired by the ‘90s game show."
244,FILM,Jim Jefferies: Freedumb,Jim Jefferies: Freedumb,2016,9.7,DRAME,United States,Ryan Polito,87,,,,"Returning for a second Netflix comedy special, Jim Jefferies unleashes his famously ferocious black humor to a packed house in Nashville, Tennessee."
245,FILM,Miss India,Miss India,2020,4.7,DRAME,India,Narendra Nath,136,,,,"Uprooted to America, an aspiring Indian entrepreneur confronts disapproval, sexism and rivalry as she draws from her culture to start a tea business."
246,SERIE,La Piloto,La Piloto,2017,6.7,DRAME,Mexico,Non specifie,,1,18,EN_COURS,"Dreaming her whole life of becoming a pilot, Yolanda finds work as a flight attendant, unaware she'll soon be thrust into a drug smuggling operation."
247,SERIE,Country Comfort,Country Comfort,2021,9.3,COMEDIE,United States,Non specifie,,1,22,ANNULEE,"After hitting the skids in her career, an aspiring country singer finds new life as a nanny for a handsome widower and his five charming children."
248,FILM,Nature: Raising the Dinosaur Giant,Nature: Raising the Dinosaur Giant,2016,9.0,DOCUMENTAIRE,United States,Non specifie,53,,,,Sir David Attenborough examines a recently discovered collection of dinosaur fossils. CGI and 3-D scans reveal what the beast may have looked like.
249,FILM,The Tiger Hunter,The Tiger Hunter,2016,8.9,COMEDIE,United States,Lena Khan,94,,,,"It's 1979, and engineer Sami is excited to leave his Indian village for a job in Chicago. But he soon runs into problems achieving his American dream."
250,FILM,Varane Avashyamund,Varane Avashyamund,2020,4.9,COMEDIE,India,Anoop Sathyan,144,,,,"At an apartment complex, the lives of a mother, a daughter seeking an arranged marriage, a military retiree and a young man become intertwined."
251,FILM,Beowulf,Beowulf,2007,8.4,SF,United States,Robert Zemeckis,114,,,,This deftly animated take on a legendary Old English epic tells the timeless tale of a Scandinavian hero who's known for slaying dragons.
252,FILM,Croupier,Croupier,1998,5.8,THRILLER,Ireland,Mike Hodges,95,,,,"A would-be writer lands a job as a croupier to make ends meet. But when he becomes involved with a gambler, he is lured into taking part in a heist."
253,SERIE,Locked Up,Loced Up,2020,9.4,DRAME,Spain,Non specifie,,5,110,TERMINEE,"Manipulated into embezzling funds for her boyfriend and sentenced to prison, a naïve young woman must quickly learn to survive in a harsh new world."
254,FILM,The Loud House Movie,The Loud House Movie,2021,8.6,COMEDIE,Inconnu,Dave Needham,88,,,,"With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey!"
